HOTEL_name,CITY_name,COUNTRY_name,PRICE_range,HOTEL_rating,amneties,HOTEL_address,HOTEL_review
Fortune Park Ahmedabad -Member ITC Hotel Group,Ahmedabad,India,,4.6/5,"Free Internet,Parking Facility,Travel Assistance,Laundry Service,","Opposite College, Ellis Bridge, Ahmedabad - 380006 View on Map","Amazing experience.. Nice rooms.... worth to stay..Nice linen.. Bathroom was clean.. Very polite staff.. perfect to stay with family..
"
Hotel Nataraj,Pahalgam,India,,4.3/5,"Indoor Entertainment,Parking Facility,Conference Room,Outdoor Activities,",Nataraj Hotel Pahalgam - Kashmir - 192126 View on Map,
Blooming Star,Mandarmani,India,,4.2/5,"Doctor On Call,Power backup,Parking Facility,Restaurant/Coffee Shop,","Vill P.O. Dadanpatrabar P.S. Ramnagar, Mandarmani - 721455 View on Map","loved the stay. Very peaceful and the hotel people were well behaved. we reached quite early but they have allowed us early check in of course at extra cost but that's fine.
room was good and spacious and the view was really awesome.
Try staying in the room at 1st floor AC room with the sea view. you will love it.
food were well served but the preperation wasn't that good. of course can't expect much also were bit slow to let us know and update us on the unavailability of food we ordered for s ...more"
"Janardan Resort, Churaini",,,,3.9/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,Outdoor Activities,","Village : churaini, 13 km from Nainital , 2 km trekking trail to reach the property., Pangot - 263001 View on Map",It's a good hotel with basic amenities but there was some issue with the water facility. Overall it was budgeted property if you want to stay only for 1 night.
Hotel Parbhat Inn,Panchkula,India,,3.9/5,"Air Conditioning,Parking Facility,Conference Room,Banquet hall,","Site Number, Sec 10, Opposite Panchkula ISBT, Panchkula. - 134113 View on Map",clean rooms good experience
Casa Sumanjo,Goa,India,,3.9/5,"Air Conditioning,Parking Facility,Laundry Service,Power backup,","H.No.1/200B/1 Calangute Gaura-Vaddo, Near St. Anthony's Chapel, Goa - 403516 View on Map","nice cheap home stay in calangute,friendly owner,big spacious rooms"
Srichackra International,Palakkad,India,,3.3/5,"Doctor On Call,Air Conditioning,Restaurant/Coffee Shop,Laundry Service,","12/220, Krishna Gardens Regency Pvt Ltd,Pirivusala, Chandranagar Palakkad-7 - 678007 View on Map","Good Hotel in Palakkad, Spacious rooms, Good service , friendly front office and 24hrs checkout.."
Kings Boat,Srinagar,India,,4.7/5,"Power backup,Daily housekeeping,Room Service,","Abi karapora Ghat No. 7 ,boulevard Road Dal lake Srinagar Kashmir - 190001 View on Map",Photoreview
HOTEL AGC,"Aurangabad, Maharashtra",India,,4.1/5,"Free Internet,Swimming Pool,Indoor Entertainment,Conference Room,","Airport Road, Next To P V R Cinema, Mukundwadi Circle, Jalna Road National Highway, Aurangabad - 431001 View on Map","Nice Hotel, a little far away from Station but nice calam place to stay.
Good Food and good breakfast
room set up, food"
Karan Heritage Homestay,Jodhpur,India,,4.3/5,"Laundry Service,Dining,Room Service,Free Internet,","Udai Bhawan, Suraita Ki Haveli, Ghoron Ka Chowk, Jodhpur - 342001 View on Map","Nice old property, owner is nice. Recommended for bachelors as well as family for a laid back stay."
Adb Rooms Hotel Surabhi International,Varanasi,India,,3.1/5,"Free Internet,Conference Room,Banquet hall,Travel Assistance,","Pahariya, Sarnath Road Varanasi - 221007 View on Map","Hot water/ geyser not available. I was informed that there was boiler but hot water is provided only upto 9 am. We did not get it.
Unfortunately I lost room key. They charged me ₹500/- for that."
Hotel Sondhi International,Amritsar,India,,3.2/5,"Laundry Service,Power backup,","Kot Atma Singh Road, Near Bus Stand, Amritsar - 143001 View on Map",good stay nice staff
PL.A.RESIDENCY,Tiruchirappalli,India,,4.1/5,"Free Internet,Travel Assistance,Laundry Service,Room Service,","# 46, Next Ramba Theater, Karur Bypass Road, Chathiram Bus Stand, Tiruchirappalli - 620001 View on Map","Very tasty buffet breakfast. Spacious rooms. Friendly staff. Tasty food at the restaurant. Easily accessible as it is near to chatram bus stand. Interestingly did not hear the honking of vehicles though the hotel is on the road side. Ample car parking.
Concerns are the wastage of a bucket of water to get hot water and the a/c filter uncleanliness."
LOTUS HOTEL,Solapur,India,,3.9/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","560/59, South Sadar Bazar V.I.P Road Solapur - 413003 View on Map","Though we paid upper end amount still the room that we got was not worth the price we paid,, however on multiple request they gave us the decent available option..Food is not at all good and staff lacks professionalism...property is good for solapur"
Hotel New Asian,Patna,India,,4.2/5,"Air Conditioning,Laundry Service,CCTV surveillance,Indoor Entertainment,","Sahyogi Marg, Opposite Hotel Republic, Patna - 800001 View on Map","stay was good. service was equally good. staff behaviour was good.
clean room with bathroom. TV was working but with very less no of channels. need to upgrade."
Hotel Kumar International,Mangalore,India,,3.3/5,"Power backup,Parking Facility,Business Services,Restaurant/Coffee Shop,","Bendoor Main Road, Mangalore - 575002 View on Map",nice & clean rooms . good room service as well. cooperative staff
Friend India (A paying guest house),,,,4.5/5,,"Bhukhmariya Bhawan 235, Tripoliya Bazar, Jaipur - 302002 View on Map",good service.enjoyed my stay in friend india guest houes.i would preferably coming to this hotel next time.overall experience was good thank you guys for ur services etc.
Sumer niwas Guest house,,,,1/51 ,"Room Service,","Near palace hotel palwa garden,motidoogeri Road, Jaipur - 302004 View on Map",very very very very poor hotel of this class hotel was kept extremely dirty
Houseboat White Horse,Srinagar,India,,3.4/5,"Power backup,Daily housekeeping,Room Service,","Dal Lake , Near Nehru Park , Srinagar - 190001 View on Map","Houseboat is good, very nice kashmiri wooden designs, especially mentioned Mr. taariq , a very humble guy, owner has a reserve nature , doesnt talks much, they have two houseboats, one is white horse and another is highland, both are good"
Perfume Garden Houseboats,Srinagar,India,,4.3/5,"Laundry Service,Power backup,Daily housekeeping,","Ghat No-7,nageen lake,university Road hazratbal, Srinagar - 190006 View on Map",Photoreview
Mohini Classic,Manali,India,,3.1/5,"Parking Facility,Restaurant/Coffee Shop,Laundry Service,Smoking Rooms Available,","Near Shiva Temple, Hadimba Road Manali Distt. Kullu H.P. - 175131 View on Map","worst experience ever! the hotel should have a cancellation policy,also there was no light for the whole time we were there"
Manali View,Manali,India,,,"Daily housekeeping,Internet,","The Mall Road, Manali - 175131 View on Map",
Hotel Summer Park,Udupi,India,,4/513,"Power backup,Parking Facility,Banquet hall,Restaurant/Coffee Shop,","Vidya Samudra Road, Udupi - 576101 View on Map","Pros:
1.) Easily accessible. 5 Min walking distance to bus stand and temple.
2.) Almost value for money
3.) Cordial staff.
4.) Room felt good.
Cons:
1.) Painting and Maintenance needed.
Good for business travellers as they are providing free and faster wifi. Easily accessible location"
Hotel Chandni Palace,,,,2.3/5,"Doctor On Call,Laundry Service,Parking Facility,Indoor Entertainment,","Sansar Chand Road, Hans Marg, Jaipur - 302001 View on Map",Very poor experience. Unclean rooms and washrooms. Would never suggest this place to anyone.
Novelty Guest House,Mumbai,India,,2.9/5,,"404 - AA, Waghwadi, 3rd and 4th Floor, Kalbadevi, Mumbai - 400002 View on Map",Nice for business sty because need to market
Bellcio Villa Guest House,Goa,India,,3.8/5,,", Goa - 403516 View on Map",Very very worst... We have stayed for two days the owner response is very poor she is very rough character... Food also very bad quality and very expensive compare with nearby hotels.. I ll not suggest this villa anymore waste of money please don't stay friends.. ....
Hotel Bundi Haveli,Bundi,India,,4.4/5,"Air Conditioning,Parking Facility,Travel Assistance,Laundry Service,","107, Balchand Parra, Near Naval Sagar Lake,Bundi - 323001 View on Map","Wonderful experience!! The staff is really good and humble!! Especially, Vikram singh rawat ji. He is really kind, polite and very very helpful. He provided us auto service (calling his friend) at 11:00pm (which is not rare in Bundi) and charged not a single penny for that. The hotel interior, decoration and ambience are also really good. The chef here is also very good. I would suggest to have all all meals in the hotel. Other cafes and restaurants do not have that good taste. However, bundi ha ...more"
Hotel Banwari Palace,Aligarh,India,,3.2/5,"Doctor On Call,Laundry Service,Power backup,Parking Facility,","old bus stand gandi park, Aligarh - 202001 View on Map",wonderful stay arrangement. staff is very supportive and dedicated. very approachable. Just next to bus station and railway station. Nice amenities.
Hotel Sovereign (Pure Veg),Daman,India,,4.1/5,"Doctor On Call,Air Conditioning,Conference Room,Banquet hall,","Sea Face, Nani Daman - 396210 View on Map",Good hotel rooms and food. Breakfast is also good. location near the Market area. The only thing you keep in mind is that it is located between jampore and devka beach but if you have your own vehicle its not a big problem. overall nice experience...
REGENCY HOTEL,Sri Ganganagar,India,,3.6/5,"Doctor On Call,Power backup,Laundry Service,CCTV surveillance,","99 Gurudwara road, NEAR RAILWAY STATION , KEDAR CHOWK, Sri Ganganagar - 335001 View on Map",nice room and best service near Railway station 
Hotel Ashutosh,Nathdwara,India,,4/550,"Doctor On Call,Power backup,Parking Facility,Laundry Service,","Hotel Ashutosh, Ujjwal Vatika, New Road, Nathdwara,Rajasthan - 313301 View on Map","good spacious rooms, clean toilet bathroom, and polite staff, good parking facility."
Hotel Park Plaza,Rameshwaram,India,,3.5/5,"Doctor On Call,Free Internet,Travel Assistance,Laundry Service,","Hotel Park Plaza, Opp.Temble car parking, JJ Nagar, Rameshwaram - 623526 View on Map","Very friendly staff, walking distance from main temple, neat & clean room. I must say completely amazing experience."
Hotel Jalaja Heritage,Thane,India,,2.7/5,"Doctor On Call,Parking Facility,Power backup,Room Service,","Waghbil Naka,Godbunder Road Thane - 400607 View on Map",nice room with adequate space.
Mike's Place,Goa,India,,2.8/5,"Parking Facility,Outdoor Activities,Dining,Air Conditioning,","Mike's Place, opp Dona Sylvia Resort, Mobor, Cavelossim, Goa - 403731 View on Map",Stones and woods are very common in their food!!
Hotel Khajanchi,Kota,India,,3.6/5,"Doctor On Call,Air Conditioning,Laundry Service,CCTV surveillance,","Near Railway Station , Station Road Kota -Jn. - 324002 View on Map","Small rooms, for hot water we need to call reception then after some time
Cleanliness of the room also not up to the mark. "
Hotel Darling Residency,Vellore,India,,4.3/5,"Doctor On Call,Free Internet,Air Conditioning,Indoor Entertainment,","#11/8, Officers Line, ANNA SALAI, Vellore - 632001 View on Map","Nice rooms with good amenities. service is good. easily accessible, perfect location. good for family as well. ample parking space is there. food is also delicious. overall very satisfactory experience."
Coconut Palm Retreat Resort,Goa,India,,5/51 ,"Laundry Service,Daily housekeeping,Outdoor Activities,Room Service,","Coconut Palm Retreat Resort, Vagator Beach Road, Vagator, Near Vagator Beach, Goa - 403509 View on Map","A beautiful stay in vagator, the service was warm very pleasant rooms."
Joy Guest House,Goa,India,,3.8/5,"Air Conditioning,Parking Facility,Power backup,Outdoor Activities,","gaura vaddo, calangute bartexz Goa 403516 View on Map",Great location on the beach. Well maintained amenities. Friendly family & staff
"ORBIT HOTEL, Medinipur",Medinipur,India,,3.5/5,"Parking Facility,Room Service,Restaurant/Coffee Shop,Laundry Service,","ORBIT HOTEL, 39 East evenue, MIDNAPUR STATION ROAD, MIDNAPUR, West Midnapore - 721101 View on Map",excellent service with delicious food.near station
Kusum Guest House,,,,4.2/5,"Power backup,Parking Facility,Daily housekeeping,Room Service,","Ward No, Miya Bigha, In front Of West Gate Of Kalchakra Maidan, Bodhgaya, Bihar - 824231 View on Map",nice behaviour..clean room..peaceful place
Hotel Rhea Park,Velankanni,India,,3.1/5,"Laundry Service,Air Conditioning,Parking Facility,Room Service,","33 A Behind Bus stand, Velankanni - 611111 View on Map",Walkable distance from railway station and church. Calm and quiet place.
D.G.Resorts,Yercaud,India,,3.9/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Diamond Street, 3rd Cross (Opposite Union Office), Yercaud - 636602 View on Map",Pleasant and peaceful stay.. Nice place.. Room and surroundings are very clean.. Worthy stay for the money.. Thanks Goibibo...
Hotel Sunrise,Mangan,India,,5/51 ,"Power backup,Parking Facility,Daily housekeeping,Room Service,","Near Bhuddha park, Ralang Road, South Sikkim, Mangal Bari - 737139 View on Map",good to stay as per location and value wise.
New Jersey Houseboats,Srinagar,India,,4.3/5,"Power backup,Parking Facility,Laundry Service,Room Service,","nagin lake, near nagin club, hazratbal, Srinagar - 190006 View on Map",
Hotel 8th Planet,Karnal,India,,3.9/5,"Free Internet,Air Conditioning,Parking Facility,Conference Room,","Hotel 8th planet, adjacent S.C.O 452, Near fountain, Mughal Canal, Karnal - 132001 View on Map","hotel is near to market but the rooms are not good and food quality is not good.
service is slow. recomided only for emergency stays otherwise many options near by in same condition with best immunity. "
Hotel Devi Darbar,Begusarai,India,,3.1/5,"Doctor On Call,Power backup,Business Services,Restaurant/Coffee Shop,","Hotel Devi darbar, BIHAT (NEAR ZERO MILE) BARAUNI, 851112, Begusarai - 851115 View on Map","Hotel is neat and clean, helpful hotel staff"
Labh Garh Palace,"Udaipur, Rajasthan",India,,4.1/5,"Free Internet,Swimming Pool,Indoor Entertainment,Conference Room,","Cheerwa Ghats, Eklingji Road, NH-8, Udaipur - 313001 View on Map",good to stay superb place location is to good food quality is very good family atmosphere staff is very cooperative..
